,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker Hughes Land and Offshore Split by State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alabama,,Alaska,,Arizona,Arkansas,California,,Colorado,Delaware,D.C.,Florida,,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,,Maine,Maryland,Mass.,Michigan,Minn.,Mississippi,,Missouri,Montana,Nebraska,Nevada,N. Hamp.,N. Jersey,N. Mexico,N. York,N. Carolina,N. Dakota,Ohio,Oklahoma,Oregon,Penn.,Rhode Is.,S. Carolina,S. Dakota,Tennesee,Texas,,Utah,Vermont,Virginia,Wash.,W. Virgina,Wisconsin,Wyoming,TOTAL US,,,
DATE,Land,Offshore,Land,Offshore,Land,Land,Land,Offshore,Land,Land,Land,Land,Offshore,Land,Land,Land,Land,Land,Land,Land,Land,Land,Offshore,Land,Land,Land,Land,Land,Land,Offshore,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Offshore,Land,Land,Land,Land,Land,Land,Land,Land,Offshore,TOTAL,
7/8/2005,2,0,9,0,0,13,20,4,69,0,0,1,1,0,1,0,0,0,0,5,4,106,89,0,0,0,3,0,13,0,0,23,0,4,0,0,83,4,0,19,9,148,0,17,0,0,2,0,613,6,27,0,4,0,15,0,80,1294,100,1394,
7/15/2005,2,0,10,0,0,13,18,5,68,0,0,1,1,0,1,0,0,0,0,6,4,108,86,0,0,0,3,0,15,0,0,21,0,4,0,0,90,3,0,21,9,151,0,18,0,0,3,0,613,6,28,0,4,0,15,0,77,1306,98,1404,
7/22/2005,2,0,8,0,0,13,23,4,69,0,0,1,1,0,1,0,0,0,0,6,4,109,93,0,0,0,3,0,15,0,0,22,0,4,0,0,88,4,0,22,9,148,0,19,0,0,2,0,610,6,27,0,4,0,15,0,78,1306,104,1410,
7/29/2005,2,0,8,0,0,13,21,4,71,0,0,1,1,0,1,0,0,0,0,6,4,104,94,0,0,0,3,0,15,0,0,24,0,3,0,0,82,4,0,24,9,148,0,19,0,0,2,0,621,7,27,0,4,0,15,0,75,1306,106,1412,
8/5/2005,2,0,10,0,0,14,25,4,73,0,0,1,1,0,1,0,0,0,0,6,4,108,93,0,0,0,3,0,15,0,0,25,0,3,0,0,82,4,0,24,9,153,0,19,0,0,2,0,625,7,27,0,4,0,15,0,77,1331,105,1436,
8/12/2005,3,0,9,0,0,12,23,3,74,0,0,1,1,0,1,0,0,0,0,7,5,112,90,0,0,0,3,0,13,0,0,24,0,3,0,0,81,4,0,25,9,163,0,19,0,0,1,0,615,7,25,0,3,0,15,0,78,1328,101,1429,
8/19/2005,3,0,9,0,0,12,23,4,75,0,0,1,1,0,1,0,0,0,0,7,5,111,90,0,0,0,3,0,11,0,0,26,0,4,0,0,81,4,0,22,9,159,1,19,0,0,3,0,619,8,24,0,3,0,15,0,80,1330,103,1433,
8/26/2005,4,0,10,0,0,12,24,4,77,0,0,1,1,0,1,0,0,0,0,7,5,114,85,0,0,0,3,0,10,0,0,26,0,4,0,0,81,4,0,24,9,160,1,19,0,0,3,0,618,10,25,0,3,0,15,0,84,1344,100,1444,
9/2/2005,4,0,10,0,0,12,23,4,78,0,0,1,1,0,1,0,0,0,0,7,5,117,81,0,0,0,3,0,10,0,0,23,0,3,0,0,91,3,0,29,9,150,1,17,0,0,3,0,619,10,27,0,3,0,16,0,86,1351,96,1447,
9/9/2005,4,0,7,0,0,12,20,4,73,0,0,1,1,0,1,0,0,0,0,7,5,114,75,0,0,0,3,0,10,0,0,23,0,2,0,0,94,3,0,30,9,152,1,17,0,0,3,0,628,10,27,0,3,0,16,0,86,1351,90,1441,
9/16/2005,4,0,6,0,0,12,23,4,79,0,0,1,1,0,1,0,0,0,0,8,7,110,75,0,0,0,3,0,10,0,0,22,0,2,0,0,89,5,0,28,9,154,1,15,0,0,4,0,618,9,27,0,1,0,25,0,83,1347,89,1436,
9/23/2005,4,0,8,0,0,12,24,5,79,0,0,1,1,0,1,0,0,0,0,7,7,109,79,0,0,0,3,0,10,0,0,23,0,3,0,0,90,5,0,29,9,152,1,14,0,0,4,0,624,9,26,0,1,0,25,0,86,1357,94,1451,
9/30/2005,5,0,8,0,0,12,27,5,81,0,0,1,1,0,1,0,0,0,0,7,7,104,72,0,0,0,2,0,9,0,0,25,0,3,0,0,94,6,0,24,9,155,1,14,0,0,5,0,662,9,25,0,1,0,25,0,83,1396,87,1483,
10/7/2005,6,0,10,0,0,14,21,4,86,0,0,1,1,0,1,0,0,0,0,7,7,104,70,0,0,0,2,0,8,0,0,25,0,3,0,0,96,5,0,24,9,156,1,13,0,0,4,0,652,11,26,0,1,0,26,0,87,1395,86,1481,
10/14/2005,6,0,10,0,0,14,23,4,86,0,0,1,1,0,1,0,0,0,0,7,7,107,74,0,0,0,2,0,8,0,0,24,0,2,0,0,95,2,0,25,9,156,1,14,0,0,4,0,657,9,25,0,1,0,25,0,82,1394,88,1482,
10/21/2005,5,0,8,0,0,14,20,4,87,0,0,1,1,0,1,0,0,0,0,7,7,103,74,0,0,0,2,0,10,0,0,23,0,2,0,0,97,2,0,24,9,154,1,14,0,0,3,0,657,9,25,0,1,0,25,0,84,1386,88,1474,
10/28/2005,5,0,8,0,0,14,26,5,86,0,0,1,1,0,1,0,0,0,0,7,7,103,73,0,0,0,2,0,10,0,0,24,0,2,0,0,92,4,0,22,9,153,1,13,0,0,3,0,657,8,28,0,1,0,26,0,88,1393,87,1480,
11/4/2005,5,0,7,0,0,14,26,5,86,0,0,1,1,0,1,0,0,0,0,7,7,106,75,0,0,0,2,0,11,0,0,24,0,2,0,0,88,4,0,23,9,152,1,13,0,0,3,0,669,7,29,0,1,0,26,0,91,1408,88,1496,
11/11/2005,6,0,9,0,0,14,28,5,82,0,0,0,1,0,1,0,0,0,0,6,5,107,70,0,0,0,2,0,10,0,0,24,0,2,0,0,89,2,0,25,9,155,1,12,0,0,3,0,657,6,29,0,2,0,25,0,92,1397,82,1479,
11/18/2005,6,0,9,0,0,14,26,4,83,0,0,0,2,0,0,0,0,0,0,6,5,110,71,0,0,0,1,0,11,0,0,25,0,2,0,0,88,5,0,25,9,156,1,14,0,0,2,0,651,6,30,0,2,0,25,0,89,1395,83,1478,
11/23/2005,6,0,12,0,0,14,26,4,87,0,0,0,2,0,0,0,0,0,0,6,5,112,69,0,0,0,1,0,11,0,0,26,0,2,0,0,89,5,0,25,9,149,1,14,0,0,1,0,665,6,31,0,2,0,24,0,87,1410,81,1491,
12/2/2005,6,0,10,0,0,15,26,4,83,0,0,0,2,0,0,0,0,0,0,6,5,106,65,0,0,0,1,0,11,0,0,27,0,2,0,0,87,4,0,23,9,147,1,14,0,0,2,0,651,7,31,0,2,0,25,0,88,1382,78,1460,
12/9/2005,6,0,11,0,0,16,27,5,87,0,0,0,2,0,0,0,0,0,0,7,5,101,61,0,0,0,1,0,11,0,0,28,0,2,0,0,90,5,0,24,9,152,1,16,0,0,2,0,660,7,31,0,2,0,24,0,90,1408,75,1483,
12/16/2005,6,0,10,0,0,16,27,4,80,0,0,0,2,0,0,0,0,0,0,7,6,105,62,0,0,0,1,0,6,0,0,23,0,2,0,0,95,6,0,24,9,153,1,17,0,0,1,0,646,6,29,0,1,0,25,0,93,1389,74,1463,
12/22/2005,6,0,10,0,0,15,29,4,81,0,0,0,2,0,0,0,0,0,0,7,6,104,66,0,0,0,2,0,4,0,0,24,0,2,0,0,97,5,0,22,9,155,0,15,0,0,1,0,656,7,30,0,1,0,25,0,90,1396,79,1475,
12/30/2005,6,0,10,0,0,15,27,5,84,0,0,0,2,0,0,0,0,0,0,7,6,99,66,0,0,0,2,0,5,0,0,22,0,2,0,0,95,3,0,22,9,154,0,14,0,0,1,0,665,7,28,0,1,0,25,0,89,1391,80,1471,
1/6/2006,6,0,10,0,0,16,28,5,83,0,0,0,2,0,0,0,0,0,0,7,6,101,64,0,0,0,2,0,6,0,0,25,0,2,0,0,91,3,0,27,9,149,0,14,0,0,1,0,658,9,27,0,1,0,25,0,87,1384,80,1464,
1/13/2006,5,0,11,0,0,16,29,4,84,0,0,0,2,0,0,0,0,0,0,7,6,106,61,0,0,0,2,0,7,0,0,24,0,2,0,0,93,4,0,28,9,151,0,16,0,0,1,0,648,11,29,0,1,0,25,0,85,1389,78,1467,
1/20/2006,4,0,11,0,0,16,29,3,84,0,0,0,2,0,0,0,0,0,0,7,6,114,60,0,0,0,3,0,5,0,0,24,0,2,0,0,85,4,0,28,9,156,0,16,0,0,1,0,647,11,29,0,1,0,25,0,90,1396,76,1472,
1/27/2006,5,0,10,0,0,15,29,3,86,0,0,0,2,0,0,0,0,0,0,7,6,114,57,0,0,0,3,0,5,0,0,25,0,2,0,0,91,4,0,24,9,155,0,16,0,0,1,0,662,10,31,0,1,0,25,0,89,1415,72,1487,
2/3/2006,5,0,11,0,0,19,29,4,86,0,0,0,2,0,0,0,0,0,0,7,6,110,58,0,0,0,3,0,5,0,0,25,0,2,0,0,95,4,0,26,9,157,0,16,0,0,0,0,674,10,29,0,1,0,25,0,95,1439,74,1513,
2/10/2006,6,0,10,0,0,18,30,3,82,0,0,0,1,0,0,0,0,0,0,7,6,113,63,0,0,0,1,0,6,0,0,23,0,2,0,0,95,4,0,28,9,173,0,16,0,0,0,0,672,11,31,0,1,0,25,0,96,1454,78,1532,
2/17/2006,6,0,10,0,0,18,29,1,83,0,0,0,1,0,0,0,0,0,0,7,6,114,64,0,0,0,1,0,6,0,0,23,0,2,0,0,101,4,0,28,9,173,0,16,0,0,1,0,678,13,30,0,1,0,25,0,95,1466,79,1545,
2/24/2006,6,0,10,0,0,20,28,2,83,0,0,0,1,0,0,0,0,0,0,6,6,114,68,0,0,0,1,0,5,0,0,23,0,2,0,0,98,4,0,27,9,174,0,16,0,0,1,0,671,15,30,0,1,0,25,0,97,1457,86,1543,
3/3/2006,6,0,10,0,0,20,29,3,81,0,0,0,0,0,0,0,0,0,0,6,6,118,68,0,0,0,1,0,5,0,0,22,0,1,0,0,98,4,0,26,9,169,0,16,0,0,1,0,666,14,31,0,1,0,25,0,95,1446,85,1531,
3/10/2006,5,0,9,1,0,20,28,4,76,0,0,0,0,0,0,0,0,0,0,6,6,113,70,0,0,0,2,0,6,0,0,23,0,1,0,0,99,4,0,29,9,169,0,16,0,0,0,0,674,14,28,0,1,0,26,0,93,1443,89,1532,
3/17/2006,3,0,10,0,0,20,31,6,82,0,0,0,0,0,0,0,0,0,0,5,6,113,66,0,0,0,2,0,8,0,0,24,0,1,0,0,97,3,0,28,2,165,0,15,0,0,0,0,682,14,38,0,1,0,26,0,98,1460,86,1546,
3/24/2006,3,0,9,0,0,21,32,5,84,0,0,0,0,0,0,0,0,0,0,5,6,109,68,0,0,0,1,0,6,0,0,23,0,1,0,0,98,4,0,27,7,165,0,15,0,0,0,0,702,14,40,0,1,0,26,0,99,1484,87,1571,
3/31/2006,2,0,7,0,0,20,31,5,83,0,0,0,0,0,0,0,0,0,0,5,6,109,73,0,0,0,1,0,7,0,0,22,0,1,0,0,98,4,0,31,7,168,0,14,0,0,0,0,701,13,39,0,1,0,25,0,103,1485,91,1576,
4/7/2006,4,0,9,0,0,14,30,5,84,0,0,0,0,0,0,0,0,0,0,6,5,107,77,0,0,0,1,0,6,0,0,24,0,1,0,0,95,3,0,32,7,172,0,14,0,0,0,0,703,14,39,0,0,0,25,0,102,1483,96,1579,
4/13/2006,4,0,9,0,0,22,29,4,88,0,0,0,0,0,0,0,0,0,0,7,6,107,77,0,0,0,2,0,8,0,0,24,0,0,0,0,95,5,0,29,7,173,0,15,0,0,1,0,717,13,32,0,2,1,27,0,106,1516,94,1610,
4/21/2006,5,0,7,0,0,18,26,4,84,0,0,0,0,0,0,0,0,0,0,7,6,108,75,0,0,0,2,0,6,0,0,24,0,0,0,0,94,4,0,28,7,175,0,14,0,0,2,0,712,14,37,0,1,1,27,0,103,1498,93,1591,
4/28/2006,4,0,7,0,0,20,28,6,82,0,0,0,0,0,0,0,0,0,0,7,6,117,77,0,0,0,1,0,6,0,0,22,0,0,0,0,97,5,0,27,7,174,0,14,0,0,2,0,717,13,39,0,1,1,26,0,102,1512,96,1608,
5/5/2006,5,0,7,0,0,23,26,6,85,0,0,0,0,0,0,0,0,0,0,8,6,117,77,0,0,0,1,0,7,0,0,22,0,0,0,0,94,5,0,26,6,177,0,14,0,0,1,0,730,13,42,0,1,1,26,0,99,1529,96,1625,
5/12/2006,5,0,8,0,0,22,27,6,88,0,0,0,0,0,0,0,0,0,0,7,5,111,80,0,0,0,2,0,8,0,0,22,0,0,0,0,100,6,0,26,6,178,0,14,0,0,1,0,726,14,40,0,1,1,24,0,99,1527,100,1627,
5/19/2006,5,0,9,0,0,21,29,7,92,0,0,0,0,0,0,0,0,0,0,7,6,116,83,0,0,0,3,0,7,0,0,23,0,0,0,0,101,6,0,29,6,177,0,17,0,0,1,0,722,13,36,0,1,1,25,0,96,1536,103,1639,
5/26/2006,4,0,9,0,0,21,27,7,92,0,0,0,0,0,0,0,0,0,0,6,6,118,79,0,0,0,2,0,8,0,0,21,0,1,0,0,99,6,0,33,6,182,0,17,0,0,2,0,727,13,38,0,1,1,25,0,98,1550,99,1649,
6/2/2006,2,1,9,0,0,23,27,7,92,0,0,0,0,0,0,0,0,0,0,6,6,115,83,0,0,0,2,0,10,0,0,24,0,1,0,0,99,6,0,32,6,182,0,17,0,0,2,0,730,12,40,0,1,1,25,0,96,1554,103,1657,
6/9/2006,4,1,9,0,0,22,24,5,90,0,0,0,0,0,0,0,0,0,0,8,6,120,79,0,0,0,2,0,9,0,0,25,0,1,0,0,95,5,0,31,6,182,0,17,0,0,1,0,737,12,43,0,1,1,25,0,100,1564,97,1661,
6/16/2006,4,1,9,0,0,23,31,4,92,0,0,0,0,0,0,0,0,0,0,9,6,115,77,0,0,0,2,0,10,0,0,24,0,1,0,0,101,6,0,28,6,180,0,17,0,0,1,0,740,12,43,0,1,1,24,0,104,1578,94,1672,
6/23/2006,4,1,9,0,0,23,31,3,84,0,0,0,0,0,0,0,0,0,0,10,6,112,76,0,0,0,2,0,11,0,0,25,0,1,0,0,100,6,0,30,6,183,0,17,0,0,1,0,741,11,43,0,1,1,24,0,107,1578,91,1669,
6/30/2006,3,1,8,0,0,24,32,2,89,0,0,0,0,0,0,0,0,0,0,17,6,111,76,0,0,0,2,0,8,0,0,25,0,2,0,0,96,6,0,30,6,186,0,17,0,0,1,0,736,10,43,0,1,1,25,0,102,1577,89,1666,
7/7/2006,3,1,8,0,0,24,31,3,91,0,0,0,0,0,0,0,0,0,0,15,6,109,80,0,0,0,3,0,10,0,0,22,0,2,0,0,94,6,0,30,6,183,0,17,0,0,1,0,728,10,42,0,1,1,27,0,105,1565,94,1659,
7/14/2006,5,1,8,0,0,25,27,3,93,0,0,0,0,0,0,0,0,0,0,14,6,109,80,0,0,0,2,0,8,0,0,22,0,2,0,0,91,6,0,31,6,188,0,17,0,0,1,0,738,10,41,0,1,1,27,0,105,1574,94,1668,
7/21/2006,4,0,8,0,0,26,29,3,89,0,0,0,0,0,0,0,0,0,0,16,6,108,80,0,0,0,5,0,7,0,0,20,0,2,0,0,93,5,0,29,7,189,0,17,0,0,1,0,755,10,43,0,1,1,27,0,102,1590,93,1683,
7/28/2006,4,1,9,0,0,26,28,5,94,0,0,0,0,0,0,0,0,0,0,16,6,108,79,0,0,0,5,0,13,0,0,22,0,2,0,0,89,7,0,32,6,191,0,17,0,0,1,0,766,11,43,0,0,1,28,0,104,1618,96,1714,
8/4/2006,4,1,8,0,0,26,29,5,93,0,0,0,0,0,0,0,0,0,0,13,6,105,81,0,0,0,4,0,13,0,0,22,0,2,0,0,88,7,0,32,6,194,0,17,0,0,1,0,755,12,45,0,0,1,28,0,107,1606,99,1705,
8/11/2006,4,1,8,0,0,26,29,5,92,0,0,0,0,0,0,0,0,0,0,16,6,102,79,0,0,0,3,0,13,0,0,21,0,2,0,0,99,7,0,32,5,195,0,16,0,0,1,0,772,14,44,0,0,1,28,0,107,1629,99,1728,
8/18/2006,3,1,4,0,0,28,30,5,93,0,0,0,0,0,1,0,0,0,0,16,6,117,80,0,0,0,3,0,11,0,0,21,0,2,0,0,91,7,0,34,6,195,0,16,0,0,2,0,796,13,44,0,0,1,28,0,108,1663,99,1762,
8/25/2006,4,1,6,0,0,30,27,3,95,0,0,0,0,0,1,1,0,0,0,16,7,124,85,0,0,0,3,0,12,0,0,21,0,2,0,0,93,6,0,34,6,195,0,11,0,0,2,0,779,11,45,0,0,1,26,0,109,1656,100,1756,
9/1/2006,2,1,8,0,0,27,29,3,92,0,0,0,0,1,1,0,0,0,0,9,7,122,79,0,0,0,4,0,12,0,0,18,0,1,0,0,88,7,0,35,6,195,0,16,0,0,2,0,779,10,45,0,0,1,26,0,106,1639,93,1732,
9/8/2006,2,1,6,0,0,27,27,4,93,0,0,0,0,0,1,1,0,1,0,9,9,122,81,0,0,0,2,0,14,0,0,18,0,1,0,0,85,7,0,38,6,189,0,16,0,0,2,1,781,9,46,0,1,1,23,0,104,1633,95,1728,
9/15/2006,3,1,5,0,0,28,25,4,94,0,0,0,0,0,1,1,0,0,0,10,9,121,81,0,0,0,2,0,14,0,0,17,0,1,0,0,96,7,0,38,9,193,0,14,0,0,3,1,771,9,44,0,1,1,24,0,109,1642,95,1737,
9/22/2006,3,1,6,0,0,26,29,4,96,0,0,0,0,0,1,1,0,1,0,7,9,122,76,0,1,0,2,0,14,0,0,19,0,2,0,0,94,7,0,37,9,196,0,14,0,0,3,1,779,9,45,0,1,1,26,0,112,1664,90,1754,
9/29/2006,4,1,6,0,0,26,30,4,96,0,0,0,0,0,1,1,0,0,0,9,10,123,76,0,1,0,1,0,12,0,0,15,0,1,0,0,89,8,0,35,9,191,1,14,0,0,3,1,782,8,46,0,1,1,26,0,112,1655,89,1744,
10/6/2006,3,1,7,0,0,26,31,4,93,0,0,0,0,0,1,1,0,0,0,8,10,121,70,0,1,0,1,0,13,0,0,17,0,1,0,0,91,6,0,37,9,186,1,15,0,0,1,1,778,13,42,0,1,1,25,0,108,1636,88,1724,
10/13/2006,4,1,6,0,0,26,30,3,90,0,0,0,0,0,1,1,0,0,0,9,13,118,76,0,1,0,1,0,11,0,0,17,0,2,0,0,88,8,0,35,9,178,1,15,0,0,1,1,785,14,45,0,0,1,30,0,107,1634,94,1728,
10/20/2006,4,1,6,0,0,25,31,3,93,0,0,0,0,0,1,1,0,0,0,11,13,121,70,0,1,0,1,0,14,0,0,17,0,2,0,0,88,8,0,37,9,186,1,15,0,0,1,1,784,15,48,0,0,1,30,0,100,1650,89,1739,
10/27/2006,4,1,7,0,0,26,31,3,92,0,0,0,0,0,1,0,0,0,0,11,14,121,71,0,0,0,3,0,14,0,0,17,0,2,0,0,89,9,0,38,8,187,1,14,0,0,1,1,786,15,45,0,0,1,30,0,101,1654,90,1744,
11/3/2006,3,1,6,0,0,25,30,3,93,0,0,0,0,0,1,1,0,0,0,11,13,126,72,0,0,0,3,0,14,0,0,18,0,1,0,0,90,9,0,39,8,190,1,15,0,0,1,1,778,14,45,0,0,1,30,0,96,1649,90,1739,
11/10/2006,4,1,6,0,0,26,33,4,90,0,0,0,0,0,1,1,0,0,0,7,12,114,72,0,0,0,2,0,14,0,0,18,0,1,0,0,83,11,0,36,8,176,1,15,0,0,1,2,771,9,49,0,1,1,31,0,92,1607,86,1693,
11/17/2006,4,1,6,0,0,25,31,4,83,0,0,0,0,0,1,1,0,0,0,14,11,121,72,0,0,0,2,0,14,0,0,17,0,1,0,0,92,12,0,39,8,178,1,15,0,0,1,2,762,9,47,0,1,1,29,0,91,1610,86,1696,
11/22/2006,3,1,6,0,0,34,32,4,87,0,0,0,0,0,1,1,0,0,0,13,2,124,71,0,0,0,2,0,17,0,0,17,0,1,0,0,101,11,0,35,8,181,1,15,0,0,1,1,758,9,46,0,0,1,19,0,94,1612,85,1697,
12/1/2006,3,1,7,0,0,34,32,4,87,0,0,0,0,0,1,1,0,0,0,11,8,122,71,0,0,0,3,0,17,0,0,18,0,1,0,0,97,10,0,33,10,183,1,17,0,0,1,3,761,10,44,0,2,1,33,0,90,1631,86,1717,
12/8/2006,3,2,6,0,0,36,31,3,91,0,0,0,0,0,1,1,0,0,0,10,8,124,70,0,0,0,2,0,16,0,0,20,0,1,0,0,94,11,0,33,10,179,0,19,0,0,1,3,774,10,44,0,2,1,32,0,86,1639,85,1724,
12/15/2006,3,2,9,0,0,35,30,3,90,0,0,0,0,0,1,1,0,0,0,13,8,121,66,0,0,0,2,0,17,0,0,20,0,1,0,0,91,10,0,35,10,177,0,19,0,0,1,3,771,10,45,0,2,1,32,0,87,1635,81,1716,
12/22/2006,2,2,8,0,0,34,30,3,94,0,0,0,0,0,1,1,0,0,0,13,7,125,67,0,0,0,2,0,19,0,0,21,0,1,0,0,88,10,0,37,10,180,0,18,0,0,1,3,770,12,45,0,2,1,32,0,84,1639,84,1723,
12/29/2006,2,2,8,0,0,36,31,3,94,0,0,0,0,0,1,1,0,0,0,12,7,122,67,0,0,0,2,0,21,0,0,21,0,1,0,0,91,10,0,34,10,174,0,17,0,0,1,4,772,12,44,0,0,1,24,0,85,1626,84,1710,
1/5/2007,5,2,9,0,0,36,31,3,95,0,0,0,0,0,1,1,0,0,0,13,7,115,69,0,0,0,2,0,20,0,0,22,0,0,0,0,92,10,0,37,11,176,0,16,0,0,1,4,756,11,44,0,0,0,24,0,82,1610,85,1695,
1/12/2007,4,2,9,0,0,36,33,2,91,0,0,0,0,0,1,1,0,0,0,14,7,123,67,0,0,0,1,0,20,0,0,18,0,0,0,0,86,9,0,33,11,183,0,16,0,0,0,4,777,12,44,0,1,0,27,0,85,1634,83,1717,
1/19/2007,5,2,9,0,0,39,32,2,98,0,0,0,0,0,1,1,0,1,0,14,10,123,67,0,0,0,1,0,16,0,0,19,0,0,0,0,89,9,0,35,12,171,0,15,0,0,0,4,795,13,45,0,3,0,32,0,82,1661,84,1745,
1/26/2007,2,1,9,0,0,38,31,2,99,0,0,0,0,0,1,1,0,1,0,15,10,106,68,0,0,0,1,0,16,0,0,16,0,0,0,0,85,9,0,31,12,168,0,14,0,0,0,4,784,12,45,0,3,0,32,0,83,1616,83,1699,
2/2/2007,2,0,11,0,0,38,30,3,95,0,0,0,0,0,0,1,0,1,0,15,10,117,66,0,0,0,1,0,16,0,0,21,0,0,0,0,83,9,0,33,12,172,0,14,0,0,0,4,791,12,45,0,3,0,32,0,77,1633,81,1714,
2/9/2007,3,0,9,0,0,38,29,3,93,0,0,0,0,0,0,1,0,1,0,11,9,119,69,0,0,0,0,0,19,0,0,20,0,0,0,0,85,9,0,32,13,183,0,13,0,0,0,5,811,11,44,0,3,0,27,0,71,1648,83,1731,
2/16/2007,4,0,11,0,0,40,30,4,94,0,0,0,0,0,0,1,0,1,0,12,9,129,73,0,0,0,0,0,21,0,0,17,0,1,0,0,83,9,0,33,13,178,0,14,0,0,0,5,803,11,45,0,3,0,29,0,73,1658,88,1746,
2/23/2007,3,0,14,0,0,41,28,4,95,0,0,0,0,0,0,1,0,1,0,14,10,132,74,0,0,0,2,0,16,0,0,22,0,1,0,0,85,9,0,33,13,182,0,13,0,0,0,4,801,11,45,0,2,0,29,0,69,1665,89,1754,
3/2/2007,2,0,14,0,0,41,27,4,93,0,0,0,1,0,0,1,0,1,0,14,10,131,78,0,0,0,2,0,18,0,0,22,0,1,0,0,75,8,0,32,13,182,0,15,0,0,0,4,799,11,44,0,2,0,29,0,78,1658,94,1752,
3/9/2007,3,0,13,0,0,43,29,2,99,0,0,0,1,0,0,1,0,1,0,14,11,121,77,0,0,0,2,0,18,0,0,20,0,2,0,0,77,8,0,30,13,187,0,15,0,0,1,4,804,9,44,0,2,0,29,0,77,1668,89,1757,
3/16/2007,2,0,10,0,0,45,28,2,96,0,0,0,0,0,0,1,0,1,0,15,10,124,68,0,0,0,2,0,16,0,0,21,0,2,0,0,72,8,0,30,13,185,0,15,0,0,1,4,819,6,39,0,2,0,29,0,74,1664,76,1740,
3/23/2007,3,0,12,0,0,44,30,1,101,0,0,0,0,0,0,1,0,2,0,15,11,126,65,0,0,0,2,0,19,0,0,22,0,2,0,0,72,8,0,32,15,178,0,14,0,0,1,4,810,8,44,0,2,0,27,0,74,1671,74,1745,
3/30/2007,2,0,12,0,0,46,31,1,103,0,0,0,0,0,0,1,0,2,0,13,11,122,63,0,0,0,2,0,20,0,0,20,0,2,0,0,71,8,0,32,15,177,0,16,0,0,1,4,815,9,43,0,2,0,26,0,79,1676,73,1749,
4/6/2007,3,0,13,0,0,43,31,1,104,0,0,0,0,0,0,1,0,2,0,14,9,126,65,0,0,0,2,0,18,0,0,20,0,2,0,0,74,7,0,33,14,173,0,17,0,0,1,4,798,9,42,0,2,0,29,0,69,1651,75,1726,
4/13/2007,3,0,11,0,0,43,31,1,107,0,0,0,0,0,0,1,0,2,0,14,9,124,65,0,0,0,2,0,21,0,0,23,0,2,0,0,76,6,0,30,14,178,0,17,0,0,2,4,818,10,43,0,2,0,29,0,70,1682,76,1758,
4/20/2007,3,0,8,0,0,42,34,1,114,0,0,0,0,0,0,1,0,2,0,14,8,125,64,0,0,0,2,0,18,0,0,22,0,2,0,0,76,6,0,32,13,178,0,14,0,0,2,3,825,11,43,0,3,0,32,0,71,1693,76,1769,
4/27/2007,3,0,6,0,0,43,32,1,109,0,0,0,0,0,0,1,0,2,0,13,8,120,63,0,0,0,2,0,18,0,0,21,0,2,0,0,74,6,0,34,13,177,0,14,0,0,2,3,814,9,43,0,3,0,32,0,79,1674,73,1747,
5/4/2007,3,0,7,0,0,43,32,1,107,0,0,0,0,0,0,0,0,3,0,13,8,118,63,0,0,0,2,0,16,0,0,20,0,3,0,0,74,5,0,33,13,186,0,15,0,0,2,3,821,10,41,0,3,0,32,0,70,1673,74,1747,
5/11/2007,4,0,8,0,0,44,32,1,109,0,0,0,0,0,0,0,0,2,0,14,8,120,64,0,0,0,1,0,14,0,0,20,0,2,0,0,78,5,0,33,12,182,0,14,0,0,2,3,807,12,43,0,3,0,33,0,70,1663,77,1740,
5/18/2007,4,0,7,0,0,45,31,1,110,0,0,0,0,0,0,0,0,2,0,14,7,114,63,0,0,0,1,0,12,0,0,20,0,2,0,0,79,5,0,33,13,182,0,14,0,0,2,4,819,11,41,0,3,0,34,0,71,1669,75,1744,
5/25/2007,4,0,8,0,0,42,31,1,101,0,0,0,1,0,0,0,0,2,0,12,7,110,66,0,0,0,1,0,13,0,0,20,0,2,0,0,80,5,0,35,13,194,0,14,0,0,4,4,823,12,41,0,3,1,35,0,75,1680,80,1760,
6/1/2007,4,0,8,0,0,43,30,1,106,0,0,0,1,0,0,0,0,2,0,12,8,107,68,0,0,0,1,0,14,0,0,19,0,2,0,0,83,5,0,34,13,194,0,14,0,0,4,4,832,11,37,0,3,1,34,0,79,1693,81,1774,
6/8/2007,6,0,9,0,0,43,31,1,102,0,0,0,1,0,0,0,0,1,0,13,8,103,68,0,0,0,0,0,16,0,0,19,0,3,0,0,77,5,0,37,13,188,0,13,0,0,4,3,831,9,38,0,3,1,35,0,79,1681,79,1760,
