,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Baker Hughes Canadian Land & Offshore Split by Province,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Alberta,British Columbia,Kavik,Manitoba,New Brunswick,Newfound Land,,N.W. Territories,Nova Scotia,,Ontario,,P.E. Island,Quebec,Saskatchewan,West Coast,,TOTAL CANADA,,,
DATE,Land,Land,Land,Land,Land,Land,Offshore,Land,Land,Offshore,Land,Offshore,Land,Land,Land,Land,Offshore,Land,Offshore,TOTAL,
4/22/2016,30,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,40,0,40,
4/29/2016,26,6,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,36,1,37,
5/6/2016,26,4,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,34,2,36,
5/13/2016,28,6,0,0,0,1,2,0,0,0,0,0,0,0,6,0,0,41,2,43,
5/20/2016,29,5,0,0,0,1,2,0,0,0,0,0,0,0,7,0,0,42,2,44,
5/27/2016,28,5,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,42,1,43,
6/3/2016,32,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,41,0,41,
6/10/2016,41,6,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,65,0,65,
6/17/2016,46,5,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,69,0,69,
6/24/2016,46,5,0,1,0,1,1,0,0,0,0,0,0,0,22,0,0,75,1,76,
7/1/2016,46,5,0,0,0,1,2,0,0,0,0,0,0,0,22,0,0,74,2,76,
7/8/2016,53,8,0,0,0,1,2,0,0,1,0,0,0,0,16,0,0,78,3,81,
7/15/2016,60,10,0,0,0,1,2,0,0,1,0,0,0,0,21,0,0,92,3,95,
7/22/2016,67,10,0,0,0,1,1,0,0,1,0,0,0,0,22,0,0,100,2,102,
7/29/2016,79,13,0,3,0,1,1,0,0,1,0,0,0,0,21,0,0,117,2,119,
8/5/2016,81,14,0,3,0,1,0,0,0,1,0,0,0,0,22,0,0,121,1,122,
8/12/2016,85,12,0,5,0,1,0,0,0,1,0,0,0,0,22,0,0,125,1,126,
8/19/2016,79,11,0,5,0,0,0,0,0,1,0,0,0,0,25,0,0,120,1,121,
8/26/2016,88,15,0,4,0,0,1,0,0,1,0,0,0,0,37,0,0,144,2,146,
9/2/2016,84,14,0,3,0,0,1,0,0,0,0,0,0,0,35,0,0,136,1,137,
9/9/2016,84,13,0,3,0,0,0,0,0,0,0,0,0,0,34,0,0,134,0,134,
9/16/2016,84,12,0,4,0,0,1,0,0,0,0,0,0,0,31,0,0,131,1,132,
9/23/2016,93,10,0,5,0,0,1,0,0,0,0,0,0,0,29,0,0,137,1,138,
9/30/2016,113,14,0,5,0,0,1,0,0,0,0,0,0,0,29,0,0,161,1,162,
10/7/2016,112,14,0,4,0,0,2,0,0,1,0,0,0,0,32,0,0,162,3,165,
10/14/2016,113,13,0,4,0,0,2,0,0,0,0,0,0,0,33,0,0,163,2,165,
10/21/2016,107,13,0,4,0,0,2,0,0,0,0,0,0,0,17,0,0,141,2,143,
10/28/2016,109,16,0,4,0,0,1,0,0,1,0,0,0,0,22,0,0,151,2,153,
11/4/2016,105,16,0,4,0,0,1,0,0,1,0,0,0,0,27,0,0,152,2,154,
11/11/2016,114,19,0,6,0,0,1,0,0,1,0,0,0,0,35,0,0,174,2,176,
11/18/2016,114,18,0,6,0,0,0,0,0,1,0,0,0,0,45,0,0,183,1,184,
11/23/2016,108,16,0,5,0,0,0,0,0,1,0,0,0,0,44,0,0,173,1,174,
12/2/2016,128,23,0,3,0,0,1,0,0,1,0,0,0,0,44,0,0,198,2,200,
12/9/2016,155,24,0,3,0,0,2,0,0,1,0,0,0,0,45,0,0,227,3,230,
12/16/2016,157,22,0,5,0,0,2,0,0,1,0,0,0,0,47,0,0,231,3,234,
12/23/2016,164,23,0,2,0,0,1,0,0,0,0,0,0,0,34,0,0,223,1,224,
12/30/2016,122,21,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,156,1,157,
1/6/2017,150,24,0,3,0,0,1,0,0,0,0,0,0,0,27,0,0,204,1,205,
1/13/2017,220,29,0,11,0,0,1,0,0,1,0,0,0,0,53,0,0,313,2,315,
1/20/2017,247,30,0,11,0,0,1,0,0,0,0,0,0,0,53,0,0,341,1,342,
1/27/2017,249,31,0,11,0,0,0,0,0,0,0,0,0,0,54,0,0,345,0,345,
2/3/2017,247,30,0,11,0,0,1,0,0,0,0,0,0,0,54,0,0,342,1,343,
2/10/2017,246,32,0,10,0,0,2,0,0,0,0,0,0,0,62,0,0,350,2,352,
2/17/2017,232,29,0,12,0,0,1,0,0,0,0,0,0,0,57,0,0,330,1,331,
2/24/2017,234,32,0,12,0,0,2,0,0,0,0,0,0,0,61,0,0,339,2,341,
3/3/2017,227,32,0,10,0,0,1,0,0,0,0,0,0,0,65,0,0,334,1,335,
3/10/2017,218,32,0,5,0,0,1,0,0,0,0,0,0,0,59,0,0,314,1,315,
3/17/2017,190,31,0,5,0,0,1,0,0,0,0,0,0,0,49,0,0,275,1,276,
3/24/2017,145,29,0,1,0,0,1,0,0,0,0,0,0,0,9,0,0,184,1,185,
3/31/2017,123,28,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,154,1,155,
4/7/2017,107,23,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,131,1,132,
4/13/2017,100,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,118,
4/21/2017,82,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,99,0,99,
4/28/2017,68,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,85,0,85,
5/5/2017,65,14,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,81,1,82,
5/12/2017,69,8,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,79,1,80,
5/19/2017,66,9,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,83,2,85,
5/26/2017,66,12,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,90,3,93,
6/2/2017,57,15,0,2,0,0,3,0,0,0,0,0,0,0,22,0,0,96,3,99,
6/9/2017,78,18,0,3,0,0,3,0,0,0,0,0,0,0,30,0,0,129,3,132,
6/16/2017,88,20,0,5,0,0,3,0,0,0,0,0,0,0,43,0,0,156,3,159,
6/23/2017,94,22,0,5,0,0,1,0,0,0,0,0,0,0,48,0,0,169,1,170,
6/30/2017,115,22,0,5,0,0,1,0,0,0,0,0,0,0,46,0,0,188,1,189,
7/7/2017,105,22,0,4,0,0,1,0,0,0,0,0,0,0,43,0,0,174,1,175,
7/14/2017,121,25,0,6,0,0,0,0,0,0,0,0,0,0,39,0,0,191,0,191,
7/21/2017,132,24,0,8,0,0,0,0,0,0,0,0,0,0,42,0,0,206,0,206,
7/28/2017,146,23,0,7,0,0,2,0,0,0,0,0,0,0,42,0,0,218,2,220,
8/4/2017,145,22,0,7,0,0,1,0,0,0,0,0,0,0,42,0,0,216,1,217,
8/11/2017,148,20,0,4,0,0,3,0,0,0,0,0,0,0,45,0,0,217,3,220,
8/18/2017,138,26,0,5,0,0,2,0,0,0,0,0,0,0,43,0,0,212,2,214,
8/25/2017,144,29,0,5,0,0,1,0,0,0,0,0,0,0,38,0,0,216,1,217,
9/1/2017,130,26,0,5,0,0,1,0,0,0,0,0,0,0,39,0,0,200,1,201,
9/8/2017,134,27,0,5,0,0,0,0,0,0,0,0,0,0,36,0,0,202,0,202,
9/15/2017,141,24,0,4,0,0,0,0,0,0,0,0,0,0,43,0,0,212,0,212,
9/22/2017,144,26,0,4,0,0,2,0,0,0,0,0,0,0,44,0,0,218,2,220,
9/29/2017,144,24,0,4,0,0,2,0,0,0,0,0,0,0,39,0,0,211,2,213,
10/6/2017,139,24,0,4,0,0,2,0,0,0,0,0,0,0,40,0,0,207,2,209,
10/13/2017,144,23,0,3,0,0,2,0,0,0,0,0,0,0,40,0,0,210,2,212,
10/20/2017,141,25,0,4,0,0,2,0,0,0,0,0,0,0,30,0,0,200,2,202,
10/27/2017,136,23,0,5,0,0,2,0,0,0,0,0,0,0,25,0,0,189,2,191,
11/3/2017,139,23,0,6,0,0,1,0,0,0,0,0,0,0,23,0,0,191,1,192,
11/10/2017,148,22,0,5,0,0,2,0,0,0,0,0,0,0,26,0,0,201,2,203,
11/17/2017,155,23,0,4,0,0,1,0,0,0,0,0,0,0,25,0,0,207,1,208,
11/22/2017,153,25,0,4,0,0,1,0,0,0,0,0,0,0,32,0,0,214,1,215,
12/1/2017,162,23,0,4,0,0,1,0,0,0,0,0,0,0,32,0,0,221,1,222,
12/8/2017,160,25,0,5,0,0,1,0,0,0,0,0,0,0,28,0,0,218,1,219,
12/15/2017,167,22,0,5,0,0,1,0,0,0,0,0,0,0,43,0,0,237,1,238,
12/22/2017,162,15,0,2,0,0,2,0,0,0,0,0,0,0,29,0,0,208,2,210,
12/29/2017,118,13,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,134,2,136,
1/5/2018,129,16,0,3,0,0,2,0,0,0,0,0,0,0,24,0,0,172,2,174,
1/12/2018,190,21,0,7,0,0,1,0,0,0,0,0,0,0,57,0,0,275,1,276,
1/19/2018,223,31,0,6,0,0,1,0,0,0,0,0,0,0,64,0,0,324,1,325,
1/26/2018,232,29,0,7,0,0,1,0,0,0,0,0,0,0,69,0,0,337,1,338,
2/2/2018,229,29,0,7,0,0,2,0,0,0,0,0,0,0,75,0,0,340,2,342,
2/9/2018,228,23,0,7,0,0,1,0,0,0,0,0,0,0,66,0,0,324,1,325,
2/16/2018,222,23,0,5,0,0,1,0,0,0,0,0,0,0,67,0,0,317,1,318,
2/23/2018,209,23,0,5,0,0,3,0,0,0,0,0,0,0,66,0,0,303,3,306,
3/2/2018,208,23,0,6,0,0,3,0,0,0,0,0,0,0,62,0,0,299,3,302,
3/9/2018,187,18,0,8,0,0,3,0,0,0,0,0,0,0,57,0,0,270,3,273,
3/16/2018,157,16,0,7,0,0,4,0,0,0,0,0,0,0,35,0,0,215,4,219,
3/23/2018,128,15,0,0,0,0,4,0,0,0,0,0,0,0,14,0,0,157,4,161,
3/29/2018,114,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,134,0,134,
4/6/2018,92,14,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,109,2,111,
4/13/2018,85,12,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,100,2,102,
4/20/2018,76,11,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,90,3,93,
4/27/2018,67,11,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,81,4,85,
5/4/2018,68,11,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,82,4,86,
5/11/2018,62,11,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,77,2,79,
5/18/2018,62,11,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,79,4,83,
5/25/2018,58,13,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,80,1,81,
6/1/2018,57,15,0,1,0,0,2,0,0,0,0,0,0,0,24,0,0,97,2,99,
6/8/2018,68,14,0,1,0,0,2,0,0,0,0,0,0,0,27,0,0,110,2,112,
6/15/2018,91,14,0,1,0,0,3,0,0,0,0,0,0,0,30,0,0,136,3,139,
6/22/2018,103,15,0,1,0,0,2,0,0,0,0,0,0,0,39,0,0,158,2,160,
6/29/2018,112,14,0,1,0,0,4,0,0,0,0,0,0,0,41,0,0,168,4,172,
7/6/2018,120,13,0,4,0,0,3,0,0,0,0,0,0,0,42,0,0,179,3,182,
7/13/2018,130,13,0,4,0,0,3,0,0,0,0,0,0,0,47,0,0,194,3,197,
7/20/2018,144,14,0,4,0,0,3,0,0,0,0,0,0,0,46,0,0,208,3,211,
7/27/2018,150,14,0,5,0,0,2,0,0,0,0,0,0,0,52,0,0,221,2,223,
8/3/2018,156,14,0,5,0,0,2,0,0,0,0,0,0,0,46,0,0,221,2,223,
8/10/2018,140,16,0,5,0,0,2,0,0,0,0,0,0,0,46,0,0,207,2,209,
8/17/2018,145,16,0,4,0,0,1,0,0,0,0,0,0,0,46,0,0,211,1,212,
8/24/2018,159,16,0,4,0,0,1,0,0,0,0,0,0,0,49,0,0,228,1,229,
8/31/2018,160,15,0,4,0,0,1,0,0,0,0,0,0,0,48,0,0,227,1,228,
9/7/2018,144,13,0,4,0,0,2,0,0,0,0,0,0,0,41,0,0,202,2,204,
9/14/2018,156,15,0,5,0,0,2,0,0,0,0,0,0,0,48,0,0,224,2,226,
9/21/2018,126,15,0,4,0,0,2,0,0,0,0,0,0,0,50,0,0,195,2,197,
9/28/2018,110,13,0,5,0,0,2,0,0,0,0,0,0,0,48,0,0,176,2,178,
10/5/2018,126,15,0,5,0,0,3,0,0,0,0,0,0,0,33,0,0,179,3,182,
10/12/2018,130,16,0,5,0,0,3,0,0,0,0,0,0,0,41,0,0,192,3,195,
10/19/2018,132,13,0,5,0,0,1,0,0,0,0,0,0,0,40,0,0,190,1,191,
10/26/2018,141,14,0,5,0,0,2,0,0,0,0,0,0,0,38,0,0,198,2,200,
11/2/2018,139,14,0,5,0,0,3,0,0,0,0,0,0,0,37,0,0,195,3,198,
11/9/2018,136,15,0,5,0,0,3,0,0,0,0,0,0,0,37,0,0,193,3,196,
11/16/2018,137,15,0,4,0,0,2,0,0,0,0,0,0,0,39,0,0,195,2,197,
11/21/2018,138,17,0,4,0,0,2,0,0,0,0,0,0,0,43,0,0,202,2,204,
11/30/2018,136,20,0,4,0,0,2,0,0,0,0,0,0,0,37,0,0,197,2,199,
12/7/2018,128,20,0,4,0,0,2,0,0,0,0,0,0,0,32,0,0,184,2,186,
12/14/2018,124,17,0,2,0,0,2,0,0,0,0,0,0,0,29,0,0,172,2,174,
12/21/2018,104,15,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,130,1,131,
12/28/2018,57,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,68,2,70,
1/4/2019,61,11,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,74,2,76,
1/11/2019,122,17,0,2,0,0,3,0,0,0,0,0,0,0,40,0,0,181,3,184,
1/18/2019,138,15,0,3,0,0,3,0,0,0,0,0,0,0,50,0,0,206,3,209,
1/25/2019,161,16,0,4,0,0,2,0,0,0,0,0,0,0,49,0,0,230,2,232,
2/1/2019,164,19,0,4,0,0,2,0,0,0,0,0,0,0,54,0,0,241,2,243,
2/8/2019,159,18,0,4,0,0,2,0,0,0,0,0,0,0,57,0,0,238,2,240,
2/15/2019,153,13,0,3,0,0,2,0,0,0,0,0,0,0,53,0,0,222,2,224,
2/22/2019,144,12,0,2,0,0,1,0,0,0,0,0,0,0,53,0,0,211,1,212,
3/1/2019,145,16,0,2,0,0,0,0,0,0,0,0,0,0,48,0,0,211,0,211,
3/8/2019,137,17,0,2,0,0,0,0,0,0,0,0,0,0,33,0,0,189,0,189,
3/15/2019,116,15,0,2,0,0,1,0,0,0,0,0,0,0,27,0,0,160,1,161,
3/22/2019,85,15,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,104,1,105,
3/29/2019,68,17,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,87,1,88,
4/5/2019,52,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,67,1,68,
4/12/2019,48,15,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,64,2,66,
4/18/2019,48,15,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,64,2,66,
4/26/2019,46,14,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,61,2,63,
5/3/2019,42,15,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,58,3,61,
5/10/2019,42,15,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,59,4,63,
5/17/2019,43,15,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,59,4,63,
5/24/2019,53,11,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,75,3,78,
5/31/2019,56,10,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,83,2,85,
6/7/2019,63,11,0,2,0,0,2,0,0,0,0,0,0,0,25,0,0,101,2,103,
6/14/2019,56,9,0,2,0,0,3,0,0,0,0,0,0,0,37,0,0,104,3,107,
6/21/2019,63,10,0,3,0,0,3,0,0,0,0,0,0,0,40,0,0,116,3,119,
6/28/2019,69,13,0,3,0,0,2,0,0,0,0,0,0,0,37,0,0,122,2,124,
7/3/2019,65,12,0,3,0,0,4,0,0,0,0,0,0,0,36,0,0,116,4,120,
7/12/2019,62,10,0,3,0,0,3,0,0,0,0,0,0,0,39,0,0,114,3,117,
7/19/2019,63,11,0,3,0,0,2,0,0,0,0,0,0,0,39,0,0,116,2,118,
7/26/2019,73,11,0,3,0,0,2,0,0,0,0,0,0,0,38,0,0,125,2,127,
8/2/2019,86,9,0,3,0,0,3,0,0,0,0,0,0,0,36,0,0,134,3,137,
8/9/2019,94,7,0,3,0,0,3,0,0,0,0,0,0,0,33,0,0,137,3,140,
8/16/2019,95,7,0,2,0,0,3,0,0,0,0,0,0,0,35,0,0,139,3,142,
8/23/2019,94,7,0,3,0,0,3,0,0,0,0,0,0,0,32,0,0,136,3,139,
8/30/2019,96,9,0,3,0,0,2,0,0,0,0,0,0,0,40,0,0,148,2,150,
9/6/2019,97,9,0,3,0,0,1,0,0,0,0,0,0,0,37,0,0,146,1,147,
9/13/2019,86,10,0,3,0,0,0,0,0,0,0,0,0,0,35,0,0,134,0,134,
9/20/2019,77,9,0,3,0,0,0,0,0,0,0,0,0,0,30,0,0,119,0,119,
9/27/2019,83,10,0,3,0,0,1,0,0,0,0,0,0,0,30,0,0,126,1,127,
10/4/2019,94,10,0,3,0,0,1,0,0,0,0,0,0,0,36,0,0,143,1,144,
10/11/2019,97,10,0,3,0,0,2,0,0,0,0,0,0,0,34,0,0,144,2,146,
10/18/2019,95,10,0,3,0,0,3,0,0,0,0,0,0,0,32,0,0,140,3,143,
10/25/2019,97,9,0,3,0,0,3,0,0,0,0,0,0,0,35,0,0,144,3,147,
11/1/2019,99,10,0,3,0,0,2,0,0,0,0,0,0,0,28,0,0,140,2,142,
11/8/2019,96,8,0,3,0,0,2,0,0,0,0,0,0,0,31,0,0,138,2,140,
11/15/2019,90,8,0,3,0,0,2,0,0,0,0,0,0,0,31,0,0,132,2,134,
11/22/2019,91,10,0,3,0,0,2,0,0,0,0,0,0,0,31,0,0,135,2,137,
11/27/2019,86,10,0,3,0,0,2,0,0,0,0,0,0,0,25,0,0,124,2,126,
12/6/2019,91,9,0,3,0,0,2,0,0,0,0,0,0,0,33,0,0,136,2,138,
12/13/2019,98,9,0,3,0,0,2,0,0,0,0,0,0,0,41,0,0,151,2,153,
12/20/2019,102,9,0,3,0,0,2,0,0,0,0,0,0,0,33,0,0,147,2,149,
12/27/2019,64,7,0,3,0,0,3,0,0,0,0,0,0,0,22,0,0,96,3,99,
1/3/2020,64,10,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,82,3,85,
1/10/2020,133,14,0,3,0,0,3,0,0,0,0,0,0,0,50,0,0,200,3,203,
1/17/2020,170,17,0,3,0,0,2,0,0,0,0,0,0,0,52,0,0,242,2,244,
1/24/2020,171,17,0,3,0,0,2,0,0,0,0,0,0,0,51,0,0,242,2,244,
1/31/2020,171,19,0,3,0,0,1,0,0,0,0,0,0,0,53,0,0,246,1,247,
2/7/2020,167,19,0,3,0,0,1,0,0,0,0,0,0,0,67,0,0,256,1,257,
2/14/2020,160,18,0,3,0,0,2,0,0,0,0,0,0,0,72,0,0,253,2,255,
2/21/2020,152,16,0,3,0,0,3,0,0,0,0,0,0,0,70,0,0,241,3,244,
2/28/2020,159,16,0,3,0,0,3,0,0,0,0,0,0,0,59,0,0,237,3,240,
3/6/2020,139,15,0,3,0,0,3,0,0,0,0,0,0,0,43,0,0,200,3,203,
3/13/2020,127,15,0,2,0,0,2,0,0,0,0,0,0,0,29,0,0,173,2,175,
3/20/2020,73,11,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,96,2,98,
3/27/2020,46,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54,0,54,
4/3/2020,29,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,40,1,41,
4/9/2020,22,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,34,1,35,
4/17/2020,17,10,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,29,1,30,
4/24/2020,16,7,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,25,1,26,
5/1/2020,16,7,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,25,2,27,
5/8/2020,15,7,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,24,2,26,
5/15/2020,11,7,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,20,3,23,
5/22/2020,10,6,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,18,3,21,
5/29/2020,10,6,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,18,2,20,
6/5/2020,11,6,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,19,2,21,
6/12/2020,11,6,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,19,2,21,
6/19/2020,7,6,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,15,2,17,
6/26/2020,5,5,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,12,1,13,
7/2/2020,9,5,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,16,2,18,
7/10/2020,16,6,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,24,2,26,
7/17/2020,20,8,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,31,1,32,
7/24/2020,28,9,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,41,1,42,
7/31/2020,29,10,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,44,1,45,
8/7/2020,31,10,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,46,1,47,
8/14/2020,33,11,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,52,2,54,
8/21/2020,32,14,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,54,2,56,
8/28/2020,30,14,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,53,1,54,
9/4/2020,28,14,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,50,2,52,
9/11/2020,30,13,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,50,2,52,
9/18/2020,34,13,0,1,0,0,1,0,0,0,0,0,0,0,15,0,0,63,1,64,
9/25/2020,41,13,0,1,0,0,1,0,0,0,0,0,0,0,15,0,0,70,1,71,
10/2/2020,42,13,0,1,0,0,1,0,0,0,0,0,0,0,18,0,0,74,1,75,
10/9/2020,46,13,0,1,0,0,1,0,0,0,0,0,0,0,19,0,0,79,1,80,
10/16/2020,43,15,0,1,0,0,2,0,0,0,0,0,0,0,19,0,0,78,2,80,
10/23/2020,45,15,0,1,0,0,2,0,0,0,0,0,0,0,20,0,0,81,2,83,
10/30/2020,48,18,0,1,0,0,1,0,0,0,0,0,0,0,18,0,0,85,1,86,
11/6/2020,46,19,0,1,0,0,1,0,0,0,0,0,0,0,19,0,0,85,1,86,
11/13/2020,49,18,0,1,0,0,1,0,0,0,0,0,0,0,20,0,0,88,1,89,
11/20/2020,62,17,0,1,0,0,1,0,0,0,0,0,0,0,20,0,0,100,1,101,
11/25/2020,62,19,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,102,0,102,
12/4/2020,63,19,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,102,0,102,
12/11/2020,69,18,0,1,0,0,0,0,0,0,0,0,0,0,23,0,0,111,0,111,
12/18/2020,67,18,0,1,0,0,1,0,0,0,0,0,0,0,15,0,0,101,1,102,
12/23/2020,57,14,0,1,0,0,1,0,0,0,0,0,0,0,9,0,0,81,1,82,
12/31/2020,48,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,58,1,59,
1/8/2021,81,17,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,117,0,117,
1/15/2021,108,19,0,3,0,0,1,0,0,0,0,0,0,0,30,0,0,160,1,161,
1/22/2021,116,22,0,3,0,0,1,0,0,0,0,0,0,0,30,0,0,171,1,172,
1/29/2021,114,22,0,3,0,0,1,0,0,0,0,0,0,0,34,0,0,173,1,174,
2/5/2021,113,21,0,3,0,0,1,0,0,0,0,0,0,0,33,0,0,170,1,171,
2/12/2021,118,21,0,3,0,0,1,0,0,0,0,0,0,0,33,0,0,175,1,176,
2/19/2021,111,22,0,3,0,0,1,0,0,0,0,0,0,0,35,0,0,171,1,172,
2/26/2021,102,21,0,3,0,0,1,0,0,0,0,0,0,0,36,0,0,162,1,163,
3/5/2021,91,19,0,3,0,0,0,0,0,0,0,0,0,0,28,0,0,141,0,141,
3/12/2021,80,19,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,116,0,116,
3/19/2021,68,16,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,92,0,92,
3/26/2021,60,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,81,0,81,
4/1/2021,51,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,69,0,69,
4/9/2021,44,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,58,0,58,
4/16/2021,41,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,1,56,
4/23/2021,40,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54,1,55,
4/30/2021,35,12,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,50,1,51,
5/7/2021,38,11,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,54,1,55,
5/14/2021,39,11,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,58,1,59,
5/21/2021,36,11,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,57,1,58,
5/28/2021,37,11,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,61,1,62,
6/4/2021,42,12,0,2,0,0,2,0,0,0,0,0,0,0,19,0,0,75,2,77,
6/11/2021,52,11,0,2,0,0,2,0,0,0,0,0,0,0,26,0,0,91,2,93,
6/18/2021,71,14,0,3,0,0,2,0,0,0,0,0,0,0,27,0,0,115,2,117,
6/25/2021,76,14,0,3,0,0,2,0,0,0,0,0,0,0,31,0,0,124,2,126,
7/2/2021,84,15,0,2,0,0,2,0,0,0,0,0,0,0,33,0,0,134,2,136,
7/9/2021,88,16,0,3,0,0,1,0,0,0,0,0,0,0,29,0,0,136,1,137,
7/16/2021,98,18,0,3,0,0,1,0,0,0,0,0,0,0,30,0,0,149,1,150,
7/23/2021,95,19,0,3,0,0,1,0,0,0,0,0,0,0,31,0,0,148,1,149,
7/30/2021,100,21,0,3,0,0,0,0,0,0,0,0,0,0,29,0,0,153,0,153,
8/6/2021,102,21,0,3,0,0,1,0,0,0,0,0,0,0,29,0,0,155,1,156,
8/13/2021,109,20,0,3,0,0,1,0,0,0,0,0,0,0,31,0,0,163,1,164,
8/20/2021,104,20,0,3,0,0,0,0,0,0,0,0,0,0,29,0,0,156,0,156,
8/27/2021,99,20,0,3,0,0,1,0,0,0,0,0,0,0,24,0,0,146,1,147,
9/3/2021,102,18,0,3,0,0,1,0,0,0,0,0,0,0,28,0,0,151,1,152,
9/10/2021,95,18,0,3,0,0,1,0,0,0,0,0,0,0,26,0,0,142,1,143,
9/17/2021,106,18,0,3,0,0,1,0,0,0,0,0,0,0,26,0,0,153,1,154,
9/24/2021,113,19,0,3,0,0,1,0,0,0,0,0,0,0,26,0,0,161,1,162,
10/1/2021,117,19,0,3,0,0,1,0,0,0,0,0,0,0,25,0,0,164,1,165,
